strain	accession	name	segment	date	host	country	abbreviation	virus
B5_65	MH716322	B5_65	NA	2014_03_26	Human	Viet_Nam	B5	Human_enterovirus_71
B5_66	MH716323	B5_66	NA	2013_11_11	Human	Viet_Nam	B5	Human_enterovirus_71
B5_67	MH716324	B5_67	NA	2014_07_17	Human	Viet_Nam	B5	Human_enterovirus_71
B5_68	MH716325	B5_68	NA	2014_12_19	Human	Viet_Nam	B5	Human_enterovirus_71
B5_69	MH716326	B5_69	NA	2014_09_26	Human	Viet_Nam	B5	Human_enterovirus_71
B5_7	MH716264	B5_7	NA	2015_04_09	Human	Viet_Nam	B5	Human_enterovirus_71
B5_70	MH716327	B5_70	NA	2014_08_29	Human	Viet_Nam	B5	Human_enterovirus_71
B5_71	MH716328	B5_71	NA	2014_05_29	Human	Viet_Nam	B5	Human_enterovirus_71
B5_72	MH716329	B5_72	NA	2014_06_11	Human	Viet_Nam	B5	Human_enterovirus_71
B5_73	MH716330	B5_73	NA	2014_11_16	Human	Viet_Nam	B5	Human_enterovirus_71
B5_74	MH716331	B5_74	NA	2014_11_04	Human	Viet_Nam	B5	Human_enterovirus_71
B5_75	MH716332	B5_75	NA	2013_11_14	Human	Viet_Nam	B5	Human_enterovirus_71
B5_76	MH716333	B5_76	NA	2013_11_21	Human	Viet_Nam	B5	Human_enterovirus_71
B5_77	MH716334	B5_77	NA	2013_07_17	Human	Viet_Nam	B5	Human_enterovirus_71
B5_78	MH716335	B5_78	NA	2014_09_11	Human	Viet_Nam	B5	Human_enterovirus_71
B5_79	MH716336	B5_79	NA	2014_10_02	Human	Viet_Nam	B5	Human_enterovirus_71
B5_8	MH716265	B5_8	NA	2014_11_26	Human	Viet_Nam	B5	Human_enterovirus_71
B5_80	MH716337	B5_80	NA	2014_10_24	Human	Viet_Nam	B5	Human_enterovirus_71
B5_81	MH716338	B5_81	NA	2013_09_25	Human	Viet_Nam	B5	Human_enterovirus_71
B5_82	MH716339	B5_82	NA	2013_07_20	Human	Viet_Nam	B5	Human_enterovirus_71
B5_83	MH716340	B5_83	NA	2014_08_06	Human	Viet_Nam	B5	Human_enterovirus_71
B5_84	MH716341	B5_84	NA	2013_09_12	Human	Viet_Nam	B5	Human_enterovirus_71
